,Chapter,Verse,Sanskrit,Transliteration
137,3,32,"
इन्द्रियस्येन्द्रियस्यार्थे रागद्वेषौ व्यवस्थितौ  तयोर्न वशमागच्छेत्तौ ह्यस्य परिपन्थिनौ      
","
indriyasyendriyasyārthe rāga dveṣhau vyavasthitautayor na vaśham āgachchhet tau hyasya paripanthinau
"
138,3,33,"
श्रेयान्स्वधर्मो विगुण: परधर्मात्स्वनुष्ठितात्  स्वधर्मे निधनं श्रेय: परधर्मो भयावह:      
","
śhreyān swa dharmo viguṇaḥ para dharmāt sv anuṣhṭhitātswa dharme nidhanaṁ śhreyaḥ para dharmo bhayāvahaḥ
"
139,3,34,"
अर्जुन उवाच  अथ केन प्रयुक्तोऽयं पापं चरति पूरुष:  अनिच्छन्नपि वार्ष्णेय बलादिव नियोजित:      
","
arjuna uvāchaatha kena prayukto ’yaṁ pāpaṁ charati pūruṣhaḥanichchhann api vārṣhṇeya balād iva niyojitaḥ
"
140,3,35,"
श्रीभगवानुवाच  काम एष क्रोध एष रजोगुणसमुद्भव:   महाशनो महापाप्मा विद्ध्येनमिह वैरिणम्      
","
śhrī bhagavān uvāchakāma eṣha krodha eṣha rajo guṇa samudbhavaḥmahāśhano mahā pāpmā viddhyenam iha vairiṇam
"
141,3,36,"
धूमेनाव्रियते वह्निर्यथादर्शो मलेन च  यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम्      
","
dhūmenāvriyate vahnir yathādarśho malena chayatholbenāvṛito garbhas tathā tenedam āvṛitam
"
142,3,37,"
आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा  कामरूपेण कौन्तेय दुष्पूरेणानलेन च      
","
āvṛitaṁ jñānam etena jñānino nitya vairiṇākāma rūpeṇa kaunteya duṣhpūreṇānalena cha
"
143,3,38,"
इन्द्रियाणि मनो बुद्धिरस्याधिष्ठानमुच्यते  एतैर्विमोहयत्येष ज्ञानमावृत्य देहिनम्      
","
indriyāṇi mano buddhir asyādhiṣhṭhānam uchyateetair vimohayatyeṣha jñānam āvṛitya dehinam
"
144,3,39,"
तस्मात्त्वमिन्द्रियाण्यादौ नियम्य भरतर्षभ  पाप्मानं प्रजहि ह्येनं ज्ञानविज्ञाननाशनम्      
","
tasmāt tvam indriyāṇyādau niyamya bharatarṣhabhapāpmānaṁ prajahi hyenaṁ jñāna vijñāna nāśhanam
"
145,3,40,"
इन्द्रियाणि पराण्याहुरिन्द्रियेभ्य: परं मन:  मनसस्तु परा बुद्धिर्यो बुद्धे: परतस्तु स:      
","
indriyāṇi parāṇyāhur indriyebhyaḥ paraṁ manaḥmanasas tu parā buddhir yo buddheḥ paratas tu saḥ
"
146,3,41,"
एवं बुद्धे: परं बुद्ध्वा संस्तभ्यात्मानमात्मना  जहि शत्रुं महाबाहो कामरूपं दुरासदम्      
","
evaṁ buddheḥ paraṁ buddhvā sanstabhyātmānam ātmanājahi śhatruṁ mahā bāho kāma rūpaṁ durāsadam
"
147,4,1,"
श्रीभगवानुवाच  इमं विवस्वते योगं प्रोक्तवानहमव्ययम्  विवस्वान्मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत्      
","
śhrī bhagavān uvāchaimaṁ vivasvate yogaṁ proktavān aham avyayamvivasvān manave prāha manur ikṣhvākave ’bravīt
"
148,4,2,"
एवं परम्पराप्राप्तमिमं राजर्षयो विदु:  स कालेनेह महता योगो नष्ट: परन्तप      
","
evaṁ paramparā prāptam imaṁ rājarṣhayo viduḥsa kāleneha mahatā yogo naṣhṭaḥ parantapa
"
149,4,3,"
स एवायं मया तेऽद्य योग: प्रोक्त: पुरातन:  भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम्      
","
sa evāyaṁ mayā te ’dya yogaḥ proktaḥ purātanaḥbhakto ’si me sakhā cheti rahasyaṁ hyetad uttamam
"
150,4,4,"
अर्जुन उवाच  अपरं भवतो जन्म परं जन्म विवस्वत:  कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति      
","
arjuna uvāchaaparaṁ bhavato janma paraṁ janma vivasvataḥkatham etad vijānīyāṁ tvam ādau proktavān iti
"
151,4,5,"
श्रीभगवानुवाच  बहूनि मे व्यतीतानि जन्मानि तव चार्जुन  तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप      
","
śhrī bhagavān uvāchabahūni me vyatītāni janmāni tava chārjunatānyahaṁ veda sarvāṇi na tvaṁ vettha parantapa
"
152,4,6,"
अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन्  प्रकृतिं स्वामधिष्ठाय सम्भवाम्यात्ममायया      
","
ajo ’pi sannavyayātmā bhūtānām īśhvaro ’pi sanprakṛitiṁ svām adhiṣhṭhāya sambhavāmyātma māyayā
"
153,4,7,"
यदा यदा हि धर्मस्य ग्लानिर्भवति भारत  अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्      
","
yadā yadā hi dharmasya glānir bhavati bhārataabhyutthānam adharmasya tadātmānaṁ sṛijāmyaham
"
154,4,8,"
परित्राणाय साधूनां विनाशाय च दुष्कृताम्  धर्मसंस्थापनार्थाय सम्भवामि युगे युगे      
","
paritrāṇāya sādhūnāṁ vināśhāya cha duṣhkṛitāmdharma sansthāpanārthāya sambhavāmi yuge yuge
"
155,4,9,"
जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वत:  त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन      
","
janma karma cha me divyam evaṁ yo vetti tattvataḥtyaktvā dehaṁ punar janma naiti mām eti so ’rjuna
"
156,4,10,"
वीतरागभयक्रोधा मन्मया मामुपाश्रिता:  बहवो ज्ञानतपसा पूता मद्भावमागता:      
","
vīta rāga bhaya krodhā man mayā mām upāśhritāḥbahavo jñāna tapasā pūtā mad bhāvam āgatāḥ
"
157,4,11,"
ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम्  मम वर्त्मानुवर्तन्ते मनुष्या: पार्थ सर्वश:      
","
ye yathā māṁ prapadyante tāns tathaiva bhajāmyahammama vartmānuvartante manuṣhyāḥ pārtha sarvaśhaḥ
"
158,4,12,"
काङ् क्षन्त: कर्मणां सिद्धिं यजन्त इह देवता:  क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा      
","
kāṅkṣhantaḥ karmaṇāṁ siddhiṁ yajanta iha devatāḥkṣhipraṁ hi mānuṣhe loke siddhir bhavati karmajā
"
159,4,13,"
चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागश:  तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम्      
","
chātur varṇyaṁ mayā sṛiṣhṭaṁ guṇa karma vibhāgaśhaḥtasya kartāram api māṁ viddhyakartāram avyayam
"
160,4,14,"
न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा  इति मां योऽभिजानाति कर्मभिर्न स बध्यते      
","
na māṁ karmāṇi limpanti na me karma phale spṛihāiti māṁ yo ’bhijānāti karmabhir na sa badhyate
"
161,4,15,"
एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभि:  कुरु कर्मैव तस्मात्त्वं पूर्वै: पूर्वतरं कृतम्      
","
evaṁ jñātvā kṛitaṁ karma pūrvair api mumukṣhubhiḥkuru karmaiva tasmāttvaṁ pūrvaiḥ pūrvataraṁ kṛitam
"
162,4,16,"
किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिता:  तत्ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽशुभात्      
","
kiṁ karma kim akarmeti kavayo ’pyatra mohitāḥtat te karma pravakṣhyāmi yaj jñātvā mokṣhyase ’śhubhāt
"
163,4,17,"
कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मण:  अकर्मणश्च बोद्धव्यं गहना कर्मणो गति:      
","
karmaṇo hyapi boddhavyaṁ boddhavyaṁ cha vikarmaṇaḥakarmaṇaśh cha boddhavyaṁ gahanā karmaṇo gatiḥ
"
164,4,18,"
कर्मण्यकर्म य: पश्येदकर्मणि च कर्म य:  स बुद्धिमान्मनुष्येषु स युक्त: कृत्स्नकर्मकृत्      
","
karmaṇyakarma yaḥ paśhyed akarmaṇi cha karma yaḥsa buddhimān manuṣhyeṣhu sa yuktaḥ kṛitsna karma kṛit
"
165,4,19,"
यस्य सर्वे समारम्भा: कामसङ्कल्पवर्जिता:  ज्ञानाग्निदग्धकर्माणं तमाहु: पण्डितं बुधा:      
","
yasya sarve samārambhāḥ kāma saṅkalpa varjitāḥjñānāgni dagdha karmāṇaṁ tam āhuḥ paṇḍitaṁ budhāḥ
"
166,4,20,"
त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रय:  कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति स:      
","
tyaktvā karma phalāsaṅgaṁ nitya tṛipto nirāśhrayaḥkarmaṇyabhipravṛitto ’pi naiva kiñchit karoti saḥ
"
167,4,21,"
निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रह:  शारीरं केवलं कर्म कुर्वन्नाप्नोति किल्बिषम्      
","
nirāśhīr yata chittātmā tyakta sarva parigrahaḥśhārīraṁ kevalaṁ karma kurvan nāpnoti kilbiṣham
"
168,4,22,"
यदृच्छालाभसन्तुष्टो द्वन्द्वातीतो विमत्सर:  सम: सिद्धावसिद्धौ च कृत्वापि न निबध्यते      
","
yadṛichchhā lābha santuṣhṭo dvandvātīto vimatsaraḥsamaḥ siddhāvasiddhau cha kṛitvāpi na nibadhyate
"
169,4,23,"
गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतस:  यज्ञायाचरत: कर्म समग्रं प्रविलीयते      
","
gata saṅgasya muktasya jñānāvasthita chetasaḥyajñāyācharataḥ karma samagraṁ pravilīyate
"
170,4,24,"
ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्नौ ब्रह्मणा हुतम्  ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना      
","
brahmārpaṇaṁ brahma havir brahmāgnau brahmaṇā hutambrahmaiva tena gantavyaṁ brahma karma samādhinā
"
171,4,25,"
दैवमेवापरे यज्ञं योगिन: पर्युपासते  ब्रह्माग्नावपरे यज्ञं यज्ञेनैवोपजुह्वति      
","
daivam evāpare yajñaṁ yoginaḥ paryupāsatebrahmāgnāvapare yajñaṁ yajñenaivopajuhvati
"
172,4,26,"
श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्निषु जुह्वति  शब्दादीन्विषयानन्य इन्द्रियाग्निषु जुह्वति      
","
śhrotrādīnīndriyāṇyanye sanyamāgniṣhu juhvatiśhabdādīn viṣhayānanya indriyāgniṣhu juhvati
"
173,4,27,"
सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे  आत्मसंयमयोगाग्नौ जुह्वति ज्ञानदीपिते      
","
sarvāṇīndriya karmāṇi prāṇa karmāṇi chāpareātma sanyama yogāgnau juhvati jñāna dīpite
"
174,4,28,"
द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे  स्वाध्यायज्ञानयज्ञाश्च यतय: संशितव्रता:      
","
dravya yajñās tapo yajñā yoga yajñās tathāpareswādhyāya jñāna yajñāśh cha yatayaḥ sanśhita vratāḥ
"
175,4,29,"
अपाने जुह्वति प्राणं प्राणेऽपानं तथापरे  प्राणापानगती रुद्ध्वा प्राणायामपरायणा:      अपरे नियताहारा: प्राणान्प्राणेषु जुह्वति  सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषा:      
","
apāne juhvati prāṇaṁ prāṇe ’pānaṁ tathāpareprāṇāpāna gatī ruddhvā prāṇāyāma parāyaṇāḥapare niyatāhārāḥ prāṇān prāṇeṣhu juhvatisarve ’pyete yajña vido yajña kṣhapita kalmaṣhāḥ
"
176,4,30,"
यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम्  नायं लोकोऽस्त्ययज्ञस्य कुतोऽन्य: कुरुसत्तम      
","
yajña śhiṣhṭāmṛita bhujo yānti brahma sanātanamnāyaṁ loko ’styayajñasya kuto ’nyaḥ kuru sattama
"
177,4,31,"
एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे  कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे      
","
evaṁ bahu vidhā yajñā vitatā brahmaṇo mukhekarma jān viddhi tān sarvān evaṁ jñātvā vimokṣhyase
"
178,4,32,"
श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञ: परन्तप  सर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते      
","
śhreyān dravya mayād yajñāj jñāna yajñaḥ parantapasarvaṁ karmākhilaṁ pārtha jñāne parisamāpyate
"
179,4,33,"
तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया  उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिन:      
","
tad viddhi praṇipātena paripraśhnena sevayāupadekṣhyanti te jñānaṁ jñāninas tattva darśhinaḥ
"
180,4,34,"
यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव  येन भूतान्यशेषेण द्रक्ष्यस्यात्मन्यथो मयि      
","
yaj jñātvā na punar moham evaṁ yāsyasi pāṇḍavayena bhūtānyaśheṣheṇa drakṣhyasyātmanyatho mayi
"
181,4,35,"
अपि चेदसि पापेभ्य: सर्वेभ्य: पापकृत्तम:  सर्वं ज्ञानप्लवेनैव वृजिनं सन्तरिष्यसि      
","
api ched asi pāpebhyaḥ sarvebhyaḥ pāpa kṛit tamaḥsarvaṁ jñāna plavenaiva vṛijinaṁ santariṣhyasi
"
182,4,36,"
यथैधांसि समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन  ज्ञानाग्नि: सर्वकर्माणि भस्मसात्कुरुते तथा      
","
yathaidhānsi samiddho ’gnir bhasma sāt kurute ’rjunajñānāgniḥ sarva karmāṇi bhasma sāt kurute tathā
"
183,4,37,"
न हि ज्ञानेन सदृशं पवित्रमिह विद्यते  तत्स्वयं योगसंसिद्ध: कालेनात्मनि विन्दति      
","
na hi jñānena sadṛiśhaṁ pavitramiha vidyatetatsvayaṁ yogasansiddhaḥ kālenātmani vindati
"
184,4,38,"
श्रद्धावान् लभते ज्ञानं तत्पर: संयतेन्द्रिय:  ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति      
","
śhraddhāvānllabhate jñānaṁ tat paraḥ sanyatendriyaḥjñānaṁ labdhvā parāṁ śhāntim achireṇādhigachchhati
"
185,4,39,"
अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति  नायं लोकोऽस्ति न परो न सुखं संशयात्मन:      
","
ajñaśh chāśhraddadhānaśh cha sanśhayātmā vinaśhyatināyaṁ loko ’sti na paro na sukhaṁ sanśhayātmanaḥ
"
186,4,40,"
योगसंन्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम्  आत्मवन्तं न कर्माणि निबध्नन्ति धनञ्जय      
","
yoga sannyasta karmāṇaṁ jñāna sañchhinna sanśhayamātmavantaṁ na karmāṇi nibadhnanti dhanañjaya
"
187,4,41,"
तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मन:  छित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत      
","
tasmād ajñāna sambhūtaṁ hṛit sthaṁ jñānāsinātmanaḥchhittvainaṁ sanśhayaṁ yogam ātiṣhṭhottiṣhṭha bhārata
"
188,5,1,"
अर्जुन उवाच  संन्यासं कर्मणां कृष्ण पुनर्योगं च शंससि  यच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम्      
","
arjuna uvāchasannyāsaṁ karmaṇāṁ kṛiṣhṇa punar yogaṁ cha śhansasiyach chhreya etayor ekaṁ tan me brūhi su niśhchitam
"
189,5,2,"
श्रीभगवानुवाच  संन्यास: कर्मयोगश्च नि:श्रेयसकरावुभौ  तयोस्तु कर्मसंन्यासात्कर्मयोगो विशिष्यते      
","
śhrī bhagavān uvāchasannyāsaḥ karma yogaśh cha niḥśhreyasa karāvubhautayos tu karma sannyāsāt karma yogo viśhiṣhyate
"
190,5,3,"
ज्ञेय: स नित्यसंन्यासी यो न द्वेष्टि न काङ् क्षति  निर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते      
","
jñeyaḥ sa nitya sannyāsī yo na dveṣhṭi na kāṅkṣhatinirdvandvo hi mahā bāho sukhaṁ bandhāt pramuchyate
"
191,5,4,"
साङ्ख्ययोगौ पृथग्बाला: प्रवदन्ति न पण्डिता:  एकमप्यास्थित: सम्यगुभयोर्विन्दते फलम्      
","
sānkhya yogau pṛithag bālāḥ pravadanti na paṇḍitāḥekamapyāsthitaḥ samyag ubhayor vindate phalam
"
192,5,5,"
यत्साङ्ख्यै: प्राप्यते स्थानं तद्योगैरपि गम्यते  एकं साङ्ख्यं च योगं च य: पश्यति स पश्यति      
","
yat sānkhyaiḥ prāpyate sthānaṁ tad yogair api gamyateekaṁ sānkhyaṁ cha yogaṁ cha yaḥ paśhyati sa paśhyati
"
193,5,6,"
संन्यासस्तु महाबाहो दु:खमाप्तुमयोगत:  योगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति      
","
sannyāsas tu mahā bāho duḥkham āptum ayogataḥyoga yukto munir brahma na chireṇādhigachchhati
"
194,5,7,"
योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रिय:  सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते      
","
yoga yukto viśhuddhātmā vijitātmā jitendriyaḥsarva bhūtātma bhūtātmā kurvann api na lipyate
"
195,5,8,"
नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित्  पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन्      प्रलपन्विसृजन्गृह्ण्न्नुन्मिषन्निमिषन्नपि  इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन्      
","
naiva kiñchit karomīti yukto manyeta tattva vitpaśhyañ śhṛiṇvan spṛiśhañjighrann aśhnangachchhan svapañśhvasanpralapan visṛijan gṛihṇann unmiṣhan nimiṣhann apiindriyāṇīndriyārtheṣhu vartanta iti dhārayan
"
196,5,9,"
ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति य:  लिप्यते न स पापेन पद्मपत्रमिवाम्भसा      
","
brahmaṇyādhāya karmāṇi saṅgaṁ tyaktvā karoti yaḥlipyate na sa pāpena padma patram ivāmbhasā
"
197,5,10,"
कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि  योगिन: कर्म कुर्वन्ति सङ्गं त्यक्त्वात्मशुद्धये      
","
kāyena manasā buddhyā kevalair indriyair apiyoginaḥ karma kurvanti saṅgaṁ tyaktvātma śhuddhaye
"
198,5,11,"
युक्त: कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम्  अयुक्त: कामकारेण फले सक्तो निबध्यते      
","
yuktaḥ karma phalaṁ tyaktvā śhāntim āpnoti naiṣhṭhikīmayuktaḥ kāma kāreṇa phale sakto nibadhyate
"
199,5,12,"
सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी  नवद्वारे पुरे देही नैव कुर्वन्न कारयन्      
","
sarva karmāṇi manasā sannyasyāste sukhaṁ vaśhīnava dvāre pure dehī naiva kurvan na kārayan
"
200,5,13,"
न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभु:  न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते      
","
na kartṛitvaṁ na karmāṇi lokasya sṛijati prabhuḥna karma phala saṅyogaṁ svabhāvas tu pravartate
"
201,5,14,"
नादत्ते कस्यचित्पापं न चैव सुकृतं विभु:  अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तव:      
","
nādatte kasyachit pāpaṁ na chaiva sukṛitaṁ vibhuḥajñānenāvṛitaṁ jñānaṁ tena muhyanti jantavaḥ
"
202,5,15,"
ज्ञानेन तु तदज्ञानं येषां नाशितमात्मन:  तेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम्      
","
jñānena tu tad ajñānaṁ yeṣhāṁ nāśhitam ātmanaḥteṣhām āditya vaj jñānaṁ prakāśhayati tat param
"
203,5,16,"
तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणा:  गच्छन्त्यपुनरावृत्तिं ज्ञाननिर्धूतकल्मषा:      
","
tad buddhayas tad ātmānas tan niṣhṭhās tat parāyaṇāḥgachchhantyapunar āvṛittiṁ jñāna nirdhūta kalmaṣhāḥ
"
204,5,17,"
विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि  शुनि चैव श्वपाके च पण्डिता: समदर्शिन:      
","
vidyā vinaya sampanne brāhmaṇe gavi hastiniśhuni chaiva śhva pāke cha paṇḍitāḥ sama darśhinaḥ
"
205,5,18,"
इहैव तैर्जित: सर्गो येषां साम्ये स्थितं मन:  निर्दोषं हि समं ब्रह्म तस्माद् ब्रह्मणि ते स्थिता:      
","
ihaiva tair jitaḥ sargo yeṣhāṁ sāmye sthitaṁ manaḥnirdoṣhaṁ hi samaṁ brahma tasmād brahmaṇi te sthitāḥ
"
206,5,19,"
न प्रहृष्येत्प्रियं प्राप्य नोद्विजेत्प्राप्य चाप्रियम्  स्थिरबुद्धिरसम्मूढो ब्रह्मविद् ब्रह्मणि स्थित:      
","
na prahṛiṣhyet priyaṁ prāpya nodvijet prāpya chāpriyamsthira buddhir asammūḍho brahma vid brahmaṇi sthitaḥ
"
207,5,20,"
बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम्  स ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्नुते      
","
bāhya sparśheṣhvasaktātmā vindatyātmani yat sukhamsa brahma yoga yuktātmā sukham akṣhayam aśhnute
"
208,5,21,"
ये हि संस्पर्शजा भोगा दु:खयोनय एव ते  आद्यन्तवन्त: कौन्तेय न तेषु रमते बुध:      
","
ye hi sansparśha jā bhogā duḥkha yonaya eva teādyantavantaḥ kaunteya na teṣhu ramate budhaḥ
"
209,5,22,"
शक्नोतीहैव य: सोढुं प्राक्शरीरविमोक्षणात्  कामक्रोधोद्भवं वेगं स युक्त: स सुखी नर:      
","
śhaknotīhaiva yaḥ soḍhuṁ prāk śharīra vimokṣhaṇātkāma krodhodbhavaṁ vegaṁ sa yuktaḥ sa sukhī naraḥ
"
210,5,23,"
योऽन्त:सुखोऽन्तरारामस्तथान्तज्र्योतिरेव य:  स योगी ब्रह्मनिर्वाणं ब्रह्मभूतोऽधिगच्छति      
","
yo 'ntaḥ sukho 'ntar ārāmas tathāntar jyotir eva yaḥsa yogī brahma nirvāṇaṁ brahma bhūto 'dhigachchhati
"
211,5,24,"
लभन्ते ब्रह्मनिर्वाणमृषय: क्षीणकल्मषा:  छिन्नद्वैधा यतात्मान: सर्वभूतहिते रता:      
","
labhante brahma nirvāṇam ṛiṣhayaḥ kṣhīṇa kalmaṣhāḥchhinna dvaidhā yatātmānaḥ sarva bhūta hite ratāḥ
"
212,5,25,"
कामक्रोधवियुक्तानां यतीनां यतचेतसाम्  अभितो ब्रह्मनिर्वाणं वर्तते विदितात्मनाम्      
","
kāma krodha viyuktānāṁ yatīnāṁ yata chetasāmabhito brahma nirvāṇaṁ vartate viditātmanām
"
213,5,26,"
स्पर्शान्कृत्वा बहिर्बाह्यांश्चक्षुश्चैवान्तरे भ्रुवो:  प्राणापानौ समौ कृत्वा नासाभ्यन्तरचारिणौ      यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायण:  विगतेच्छाभयक्रोधो य: सदा मुक्त एव स:      
","
sparśhān kṛitvā bahir bāhyānśh chakṣhuśh chaivāntare bhruvoḥprāṇāpānau samau kṛitvā nāsābhyantara chāriṇauyatendriya mano buddhir munir mokṣha parāyaṇaḥvigatechchhā bhaya krodho yaḥ sadā mukta eva saḥ
"
214,5,27,"
भोक्तारं यज्ञतपसां सर्वलोकमहेश्वरम्  सुहृदं सर्वभूतानां ज्ञात्वा मां शान्तिमृच्छति      
","
bhoktāraṁ yajña tapasāṁ sarva loka maheśhvaramsuhṛidaṁ sarva bhūtānāṁ jñātvā māṁ śhāntim ṛichchhati
"
215,6,1,"
श्रीभगवानुवाच  अनाश्रित: कर्मफलं कार्यं कर्म करोति य:  स संन्यासी च योगी च न निरग्निर्न चाक्रिय:      
","
śhrī bhagavān uvāchaanāśhritaḥ karma phalaṁ kāryaṁ karma karoti yaḥsa sannyāsī cha yogī cha na niragnir na chākriyaḥ
"
216,6,2,"
यं संन्यासमिति प्राहुर्योगं तं विद्धि पाण्डव  न ह्यसंन्यस्तसङ्कल्पो योगी भवति कश्चन      
","
yaṁ sannyāsam iti prāhur yogaṁ taṁ viddhi pāṇḍavana hyasannyasta saṅkalpo yogī bhavati kaśhchana
"
217,6,3,"
आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते  योगारूढस्य तस्यैव शम: कारणमुच्यते      
","
ārurukṣhor muner yogaṁ karma kāraṇam uchyateyogārūḍhasya tasyaiva śhamaḥ kāraṇam uchyate
"
218,6,4,"
यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्जते  सर्वसङ्कल्पसंन्यासी योगारूढस्तदोच्यते      
","
yadā hi nendriyārtheṣhu na karmasv anuṣhajjatesarva saṅkalpa sannyāsī yogārūḍhas tadochyate
"
219,6,5,"
उद्धरेदात्मनात्मानं नात्मानमवसादयेत्  आत्मैव ह्यात्मनो बन्धुरात्मैव रिपुरात्मन:      
","
uddhared ātmanātmānaṁ nātmānam avasādayetātmaiva hyātmano bandhur ātmaiva ripur ātmanaḥ
"
220,6,6,"
बन्धुरात्मात्मनस्तस्य येनात्मैवात्मना जित:  अनात्मनस्तु शत्रुत्वे वर्ते तात्मैव शत्रुवत्      
","
bandhur ātmātmanas tasya yenātmaivātmanā jitaḥanātmanas tu śhatrutve vartetātmaiva śhatru vat
"
221,6,7,"
जितात्मन: प्रशान्तस्य परमात्मा समाहित:  शीतोष्णसुखदु:खेषु तथा मानापमानयो:      
","
jitātmanaḥ praśhāntasya paramātmā samāhitaḥśhītoṣhṇa sukha duḥkheṣhu tathā mānāpamānayoḥ
"
222,6,8,"
ज्ञानविज्ञानतृप्तात्मा कूटस्थो विजितेन्द्रिय:  युक्त इत्युच्यते योगी समलोष्टाश्मकाञ्चन:      
","
jñāna vijñāna tṛiptātmā kūṭa stho vijitendriyaḥyukta ityuchyate yogī sama loṣhṭāśhma kāñchanaḥ
"
223,6,9,"
सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु  साधुष्वपि च पापेषु समबुद्धिर्विशिष्यते      
","
suhṛin mitrāryudāsīna madhyastha dveṣhya bandhuṣhusādhuṣhvapi cha pāpeṣhu sama buddhir viśhiṣhyate
"
224,6,10,"
योगी युञ्जीत सततमात्मानं रहसि स्थित:  एकाकी यतचित्तात्मा निराशीरपरिग्रह:      
","
yogī yuñjīta satatam ātmānaṁ rahasi sthitaḥekākī yata chittātmā nirāśhīr aparigrahaḥ
"
225,6,11,"
शुचौ देशे प्रतिष्ठाप्य स्थिरमासनमात्मन:  नात्युच्छ्रितं नातिनीचं चैलाजिनकुशोत्तरम्      
","
śhuchau deśhe pratiṣhṭhāpya sthiram āsanam ātmanaḥnātyuchchhritaṁ nāti nīchaṁ chailājina kuśhottaram
"
