,Translation
chpt5V25,"Those holy persons, whose sins have been purged, whose doubts are annihilated, whose minds are disciplined, and who are devoted to the welfare of all beings, attain God and are liberated from material existence."
chpt5V26,For those
chpt5V27,"Shutting out all thoughts of external enjoyment, with the gaze fixed on the space between the eye-brows, equalizing the flow of the incoming and outgoing breath in the nostrils, and thus controlling the senses, mind, and intellect, the sage who becomes free from desire and fear, always lives in freedom."
chpt5V29,"Having realized Me as the enjoyer of all sacrifices and austerities, the Supreme Lord of all the worlds and the selfless friend of all living beings, My devotee attains peace."
chpt6V1,The Supreme Lord said: Those who perform prescribed duties without desiring the results of their actions are actual
chpt6V2,What is known as
chpt6V3,"To the soul who is aspiring for perfection in Yog, work without attachment is said to be the means; to the sage who is already elevated in Yog, tranquility in meditation is said to be the means."
chpt6V4,"When one is neither attached to sense objects nor to actions, such a person is said to be elevated in the science of Yog, having renounced all desires for the fruits of actions."
chpt6V5,"Elevate yourself through the power of your mind, and not degrade yourself, for the mind can be the friend and also the enemy of the self."
chpt6V6,"For those who have conquered the mind, it is their friend. For those who have failed to do so, the mind works like an enemy."
chpt6V7,"The yogis who have conquered the mind rise above the dualities of cold and heat, joy and sorrow, and honor and dishonor. Such yogis remain peaceful and steadfast in their devotion to God."
chpt6V8,"The yogi who are satisfied by knowledge and discrimination, and have conquered their senses, remain undisturbed in all circumstances. They see everything—dirt, stones, and gold—as the same."
chpt6V9,"The yogis look upon all—well-wishers, friends, foes, the pious, and the sinners—with an impartial intellect. The yogi who is of equal intellect toward friend, companion, and foe, neutral among enemies and relatives, and unbiased between the righteous and sinful, is considered to be distinguished among humans."
chpt6V10,"Those who seek the state of Yog should reside in seclusion, constantly engaged in meditation with a controlled mind and body, getting rid of desires and possessions for enjoyment."
chpt6V11,"To practice Yog, one should make an"
chpt6V12,"Seated firmly on it, the yogi should strive to purify the mind by focusing it in meditation with one pointed concentration, controlling all thoughts and activities. He must hold the body, neck, and head firmly in a straight line, and gaze at the tip of the nose, without allowing the eyes to wander."
chpt6V14,"Thus, with a serene, fearless, and unwavering mind, and staunch in the vow of celibacy, the vigilant yogi should meditate on Me, having Me alone as the supreme goal."
chpt6V15,"Thus, constantly keeping the mind absorbed in Me, the yogi of disciplined mind attains"
chpt6V16,"O Arjun, those who eat too much or too little, sleep too much or too little, cannot attain success in Yog."
chpt6V17,"But those who are temperate in eating and recreation, balanced in work, and regulated in sleep, can mitigate all sorrows by practicing Yog."
chpt6V18,"With thorough discipline, they learn to withdraw the mind from selfish cravings and rivet it on the unsurpassable good of the self. Such persons are said to be in Yog, and are free from all yearning of the senses."
chpt6V19,"Just as a lamp in a windless place does not flicker, so the disciplined mind of a yogi"
chpt6V20,"When the mind, restrained from material activities, becomes still by the practice of Yog, then the yogi is able to behold the soul through the purified mind, and he rejoices in the inner joy."
chpt6V21,"In that joyous state of Yog, called"
chpt6V22,"Having gained that state, one does not consider any attainment to be greater. Being thus established, one is not shaken even in the midst of the greatest calamity."
chpt6V23,That state of severance from union with misery is known as Yog. This Yog should be resolutely practiced with determination free from pessimism.
chpt6V24,"Completely renouncing all desires arising from thoughts of the world, one should restrain the senses from all sides with the mind. Slowly and steadily, with conviction in the intellect, the mind will become fixed in God alone, and will think of nothing else."
chpt6V26,"Whenever and wherever the restless and unsteady mind wanders, one should bring it back and continually focus it on God."
chpt6V27,"Great transcendental happiness comes to the yogi whose mind is calm, whose passions are subdued, who is without sin, and who sees everything in connection with God."
chpt6V28,"The self-controlled yogi, thus uniting the self with God, becomes free from material contamination, and being in constant touch with the Supreme, achieves the highest state of perfect happiness."
chpt6V29,"The true yogis, uniting their consciousness with God, see with equal eye, all living beings in God and God in all living beings."
chpt6V30,"For those who see Me everywhere and see all things in Me, I am never lost, nor are they ever lost to Me."
chpt6V31,"The yogi who is established in union with Me, and worships Me as the Supreme Soul residing in all beings, dwells only in Me, though engaged in all kinds of activities."
chpt6V32,I regard them to be perfect yogis who see the true equality of all living beings and respond to the joys and sorrows of others as if they were their own.
chpt6V33,"Arjun said: The system of Yog that you have described, O Madhusudan, appears impractical and unattainable to me, due to the restless mind."
chpt6V34,"The mind is very restless, turbulent, strong and obstinate, O Krishna. It appears to me that it is more difficult to control than the wind."
chpt6V35,"Lord Krishna said: O mighty-armed son of Kunti, what you say is correct; the mind is indeed very difficult to restrain. But by practice and detachment, it can be controlled."
chpt6V36,"Yog is difficult to attain for one whose mind is unbridled. However, those who have learnt to control the mind, and who strive earnestly by proper means, can attain perfection in Yog. This is My opinion."
chpt6V37,"Arjun said: What is the fate of the unsuccessful yogi who begins the path with faith, but who does not endeavor sufficiently due to an unsteady mind and is unable to reach the goal of Yog in this life?"
chpt6V38,"Does not such a person who deviates from Yog get deprived of both material and spiritual success, O mighty-armed Krishna, and perish like a broken cloud with no position in either sphere?"
chpt6V39,"O Krishna, please dispel this doubt of mine completely, for who other than You can do so?"
chpt6V40,"The Supreme Lord said: O Parth, one who engages on the spiritual path does not meet with destruction either in this world or the world to come. My dear friend, one who strives for God-realization is never overcome by evil."
chpt6V41,"The unsuccessful yogis, upon death, go to the abodes of the virtuous. After dwelling there for many ages, they are again reborn in the earth plane, into a family of pious and prosperous people. Else, if they had developed dispassion due to long practice of Yog, they are born into a family endowed with divine wisdom. Such a birth is very difficult to attain in this world."
chpt6V43,"On taking such a birth, O descendant of Kurus, they reawaken the wisdom of their previous lives, and strive even harder toward perfection in Yog."
chpt6V44,"Indeed, they feel drawn toward God, even against their will, on the strength of their past discipline. Such seekers naturally rise above the ritualistic principles of the scriptures."
chpt6V45,"With the accumulated merits of many past births, when these yogis engage in sincere endeavors to make further progress, they become purified from material desires and attain perfection in this life itself."
chpt6V46,A yogi is superior to the
chpt6V47,"Of all yogis, those whose minds are always absorbed in Me, and who engage in devotion to Me with great faith, them I consider to be the highest of all."
chpt7V1,"The Supreme Lord said: Now listen, O Arjun, how, with the mind attached exclusively to Me, and surrendering to Me through the practice of"
chpt7V2,"I shall now reveal unto you fully this knowledge and wisdom, knowing which nothing else remains to be known in this world."
chpt7V3,"Amongst thousands of persons, hardly one strives for perfection; and amongst those who have achieved perfection, hardly one knows Me in truth."
chpt7V4,"Earth, water, fire, air, space, mind, intellect, and ego—these are eight components of My material energy."
chpt7V5,"Such is My inferior energy. But beyond it, O mighty-armed Arjun, I have a superior energy. This is the"
chpt7V6,"Know that all living beings are manifested by these two energies of Mine. I am the source of the entire creation, and into Me it again dissolves."
chpt7V7,"There is nothing higher than Myself, O Arjun. Everything rests in Me, as beads strung on a thread."
chpt7V8,"I am the taste in water, O son of Kunti, and the radiance of the sun and the moon. I am the sacred syllable Om in the Vedic mantras; I am the sound in ether, and the ability in humans."
chpt7V9,"I am the pure fragrance of the Earth, and the brilliance in fire. I am the life-force in all beings, and the penance of the ascetics."
chpt7V10,"O Arjun, know that I am the eternal seed of all beings. I am the intellect of the intelligent, and the splendor of the glorious."
chpt7V11,"O best of the Bharatas, in strong persons, I am their strength devoid of desire and passion. I am sexual activity not conflicting with virtue or scriptural injunctions."
chpt7V12,"The three states of material existence—goodness, passion, and ignorance—are manifested by My energy. They are in Me, but I am beyond them."
chpt7V13,"Deluded by the three modes of Maya, people in this world are unable to know Me, the imperishable and eternal."
chpt7V14,"My divine energy Maya, consisting of the three modes of nature, is very difficult to overcome. But those who surrender unto Me cross over it easily."
chpt7V15,"Four kinds of people do not surrender unto Me—those ignorant of knowledge, those who lazily follow their lower nature though capable of knowing Me, those with deluded intellect, and those with a demoniac nature."
chpt7V16,"O best amongst the Bharatas, four kinds of pious people engage in My devotion—the distressed, the seekers of knowledge, the seekers of worldly possessions, and those who are situated in knowledge."
chpt7V17,"Amongst these, I consider them to be the highest, who worship Me with knowledge, and are steadfastly and exclusively devoted to Me. I am very dear to them and they are very dear to Me."
chpt7V18,"All those who are devoted to Me are indeed noble. But those in knowledge, who are of steadfast mind, whose intellect is merged in Me, and who have made Me alone as their supreme goal, I consider as My very self."
chpt7V19,"After many births of spiritual practice, one who is endowed with knowledge surrenders unto Me, knowing Me to be all that is. Such a great soul is indeed very rare."
chpt7V20,"Those whose knowledge has been carried away by material desires surrender to the celestial gods. Following their own nature, they worship the"
chpt7V21,"Whatever celestial form a devotee seeks to worship with faith, I steady the faith of such a devotee in that form."
chpt7V22,"Endowed with faith, the devotee worships a particular celestial god and obtains the objects of desire. But in reality, I alone arrange these benefits."
chpt7V23,"But the fruit gained by these people of little understanding is perishable. Those who worship the celestial gods go to the celestial abodes, while My devotees come to Me."
chpt7V24,"The less intelligent think that I, the Supreme Lord Shree Krishna, was formless earlier and have now assumed this personality. They do not understand the imperishable exalted nature of My personal form."
chpt7V25,"I am not manifest to everyone, being veiled by My divine"
chpt7V26,"O Arjun, I know of past, present, and future, and I also know all living beings; but Me no one knows."
chpt7V27,"O descendant of Bharat, the dualities of desire and aversion arise from illusion. O conqueror of enemies, all living beings in the material realm are deluded by these."
chpt7V28,"But persons, whose sins have been destroyed by engaging in pious activities, become free from the illusion of dualities. Such persons worship Me with determination."
chpt7V29,"Those who take shelter in Me, striving for liberation from old-age and death, come to know the Brahman, the individual self, and the entire field of karmic action."
chpt7V30,Those who know Me as the governing principle of the
chpt8V1,"Arjun said: O Supreme Lord, what is Brahman (Absolute Reality), what is"
chpt8V3,The Lord said: The Supreme Indestructible Entity is called Brahman; one’s own self is called
chpt8V4,"O best of the embodied souls, the physical manifestation that is constantly changing is called"
chpt8V5,Those who relinquish the body while remembering Me at the moment of death will come to Me. There is certainly no doubt about this.
chpt8V6,"Whatever one remembers upon giving up the body at the time of death, O son of Kunti, one attains that state, being always absorbed in such contemplation."
chpt8V7,"Therefore, always remember Me and also do your duty of fighting the war.  With mind and intellect surrendered to Me, you will definitely attain Me; of this, there is no doubt."
chpt8V8,"With practice, O Parth, when you constantly engage the mind in remembering Me, the Supreme Divine Personality, without deviating, you will certainly attain Me."
chpt8V9,"God is Omniscient, the most ancient One, the Controller, subtler than the subtlest, the Support of all, and the possessor of an inconceivable divine form; He is brighter than the sun, and beyond all darkness of ignorance.  One who at the time of death, with unmoving mind attained by the practice of Yog, fixes the"
chpt8V11,Scholars of the Vedas describe Him as Imperishable; great ascetics practice the vow of celibacy and renounce worldly pleasures to enter into Him.  I shall now explain to you briefly the path to that goal.
chpt8V12,"Restraining all the gates of the body and fixing the mind in the heart region, and then drawing the life-breath to the head, one should get established in steadfast yogic concentration."
chpt8V13,"One who departs from the body while remembering Me, the Supreme Personality, and chanting the syllable Om, will attain the supreme goal."
chpt8V14,"O Parth, for those yogis who always think of Me with exclusive devotion, I am easily attainable because of their constant absorption in Me."
chpt8V15,"Having attained Me, the great souls are no more subject to rebirth in this world, which is transient and full of misery, because they have attained the highest perfection."
chpt8V16,"In all the worlds of this material creation, up to the highest abode of Brahma, you will be subject to rebirth, O Arjun.  But on attaining My Abode, O son of Kunti, there is no further rebirth."
chpt8V17,One day of Brahma (
chpt8V18,"At the advent of Brahma’s day, all living beings emanate from the unmanifest source.  And at the fall of his night, all embodied beings again merge into their unmanifest source."
chpt8V19,"Multitudes of beings repeatedly take birth with the advent of Brahma’s day, and are reabsorbed on the arrival of the cosmic night, to manifest again automatically on the advent of the next cosmic day."
chpt8V20,"Transcendental to this manifest and unmanifest creation, there is yet another unmanifest eternal dimension.  That realm does not cease even when all others do."
chpt8V21,"That unmanifest dimension is the supreme goal, and upon reaching it, one never returns to this mortal world.  That is My Supreme Abode."
chpt8V22,"The Supreme Divine Personality is greater than all that exists.  Although He is all-pervading and all living beings are situated in Him, yet He can be known only through devotion."
chpt8V23,"I shall now describe to you the different paths of passing away from this world, O best of the Bharatas, one of which leads to liberation and the other leads to rebirth.  Those who know the Supreme Brahman and who depart from this world, during the six months of the sun’s northern course, the bright fortnight of the moon, and the bright part of the day, attain the supreme destination.  The practitioners of Vedic rituals, who pass away during the six months of the sun’s southern course, the dark fortnight of the moon, the time of smoke, the night, attain the celestial abodes.  After enjoying celestial pleasures, they again return to the earth.  These two, bright and dark paths, always exist in this world.  The way of light leads to liberation and the way of darkness leads to rebirth."
chpt8V27,"Yogis who know the secret of these two paths, O Parth, are never bewildered.  Therefore, at all times be situated in Yog (union with God)."
chpt8V28,"The yogis, who know this secret, gain merit far beyond the fruits of Vedic rituals, the study of the Vedas, performance of sacrifices, austerities, and charities.  Such yogis reach the Supreme Abode."
chpt9V1,"The Supreme Lord said:  O Arjun, because you are not envious of Me, I shall now impart to you this very confidential knowledge and wisdom, upon knowing which you will be released from the miseries of material existence."
chpt9V2,"This knowledge is the king of sciences and the most profound of all secrets.  It purifies those who hear it.  It is directly realizable, in accordance with"
chpt9V3,People who have no faith in this
chpt9V4,"This entire cosmic manifestation is pervaded by Me in My unmanifest form.  All living beings dwell in Me, but I do not dwell in them."
chpt9V5,"And yet, the living beings do not abide in Me.  Behold the mystery of My divine energy!  Although I am the Creator and Sustainer of all living beings, I am not influenced by them or by material nature."
chpt9V6,"Know that as the mighty wind blowing everywhere rests always in the sky, likewise all living beings always rest in Me."
chpt9V7,At the end of one
chpt9V9,"O conqueror of wealth, none of these actions bind Me.  I remain like a neutral observer, ever detached from these actions."
chpt9V10,"Working under My direction, this material energy brings into being all animate and inanimate forms, O son of Kunti.  For this reason, the material world undergoes the changes (of creation, maintenance, and dissolution)."
chpt9V11,"When I descend in My personal form deluded persons are unable to recognize Me.  They do not know the divinity of My personality, as the Supreme Lord of all beings."
chpt9V12,"Bewildered by the material energy, such persons embrace demoniac and atheistic views.  In that deluded state, their hopes for welfare are in vain, their fruitive actions are wasted, and their culture of knowledge is baffled."
chpt9V13,"But the great souls, who take shelter of My divine energy, O Parth, know Me, Lord Krishna, as the origin of all creation.  They engage in My devotion with their minds fixed exclusively on Me."
chpt9V14,"Always singing My divine glories, striving with great determination, and humbly bowing down before Me, they constantly worship Me in loving devotion."
chpt9V15,"Others, engaging in the"
chpt9V16,"It is I who am the Vedic ritual, I am the sacrifice, and I am the oblation offered to the ancestors.  I am the medicinal herb, and I am the Vedic mantra.  I am the clarified butter, I am the fire and the act of offering.  Of this universe, I am the Father; I am also the Mother, the Sustainer, and the Grandsire.  I am the purifier, the goal of knowledge, the sacred syllable Om.  I am the Ṛig Veda, Sāma Veda, and the Yajur Veda."
chpt9V18,"I am the Supreme Goal of all living beings, and I am also their Sustainer, Master, Witness, Abode, Shelter, and Friend.  I am the Origin, End, and Resting Place of creation; I am the Repository and Eternal Seed."
chpt9V19,"I radiate heat as the sun, and I withhold, as well as send forth rain.  I am immortality as well as death personified, O Arjun.  I am the spirit as well as matter."
chpt9V20,Those who are inclined to the fruitive activity described in the Vedas worship Me through ritualistic sacrifices.  Being purified from sin by drinking the
chpt9V21,"When they have enjoyed the vast pleasures of heaven, the stock of their merits being exhausted, they return to the earthly plane.  Thus, those who follow the Vedic rituals, desiring objects of enjoyment, repeatedly come and go in this world."
chpt9V22,"There are those who always think of Me and engage in exclusive devotion to Me.  To them, whose minds are always absorbed in Me, I provide what they lack and preserve what they already possess."
chpt9V23,"O son of Kunti, even those devotees who faithfully worship other gods also worship Me.  But they do so by the wrong method."
chpt9V24,I am the enjoyer and the only Lord of all sacrifices.  But those who fail to realize My divine nature must be reborn.
chpt9V25,"Worshippers of the celestial gods take birth amongst the celestial gods, worshippers of the ancestors go to the ancestors, worshippers of ghosts take birth amongst such beings, and My devotees come to Me alone."
chpt9V26,"If one offers to Me with devotion a leaf, a flower, a fruit, or even water, I delightfully partake of that item offered with love by My devotee in pure consciousness."
chpt9V27,"Whatever you do, whatever you eat, whatever you offer as oblation to the sacred fire, whatever you bestow as a gift, and whatever austerities you perform, O son of Kunti, do them as an offering to Me."
chpt9V28,"By dedicating all your works to Me, you will be freed from the bondage of good and bad results.  With your mind attached to Me through renunciation, you will be liberated and will reach Me."
chpt9V29,I am equally disposed to all living beings; I am neither inimical nor partial to anyone.  But the devotees who worship Me with love reside in Me and I reside in them.
chpt9V30,"Even if the vilest sinners worship Me with exclusive devotion, they are to be considered righteous because they have made the proper resolve."
chpt9V31,"Quickly they become virtuous, and attain lasting peace.  O son of Kunti, declare it boldly that no devotee of Mine is ever lost."
chpt9V32,"All those who take refuge in Me, whatever their birth, race, gender, or caste, even those whom society scorns, will attain the supreme destination."
chpt9V33,"What then to speak about kings and sages with meritorious deeds?  Therefore, having come to this transient and joyless world, engage in devotion unto Me."
chpt9V34,"Always think of Me, be devoted to Me, worship Me, and offer obeisance to Me.  Having dedicated your mind and body to Me, you will certainly come to Me."
chpt10V1,"The Lord said: Listen again to My divine teachings, O mighty armed one. Desiring your welfare because you are My beloved friend, I shall reveal them to you."
chpt10V2,Neither celestial gods nor the great sages know of My origin. I am the source from which the gods and great seers come.
chpt10V3,"Those who know Me as unborn and beginningless, and as the Supreme Lord of the universe, they among mortals are free from illusion and released from all evils."
chpt10V4,"From Me alone arise the varieties of qualities in humans, such as intellect, knowledge, clarity of thought, forgiveness, truthfulness, control over the senses and mind, joy and sorrow, birth and death, fear and courage, non-violence, equanimity, contentment, austerity, charity, fame, and infamy."
chpt10V6,"The seven great Sages, the four great Saints before them, and the fourteen Manus, are all born from My mind. From them, all the people in the world have descended."
chpt10V7,Those who know in truth My glories and divine powers become united with Me through unwavering Bhakti Yog. Of this there is no doubt.
chpt10V8,I am the origin of all creation. Everything proceeds from Me. The wise who know this perfectly worship Me with great faith and devotion.
chpt10V9,"With their minds fixed on Me and their lives surrendered to Me, My devotees remain ever content in Me. They derive great satisfaction and bliss in enlightening one another about Me and in conversing about My glories."
chpt10V10,"To those whose minds are always united with Me in loving devotion, I give the divine knowledge by which they can attain Me."
chpt10V11,"Out of compassion for them, I, who dwell within their hearts, destroy the darkness born of ignorance, with the luminous lamp of knowledge."
chpt10V12,"Arjun said: You are the Supreme Divine Personality, the Supreme Abode, the Supreme Purifier, the Eternal God, the Primal Being, the Unborn, and the Greatest. The great sages, like Narad, Asit, Deval, and Vyas, proclaimed this, and now You are declaring it to me Yourself."
chpt10V14,"O Krishna, I totally accept everything You have told me as the Truth. O Lord, neither gods nor the demons can understand Your true personality."
chpt10V15,"Indeed, You alone know Yourself by Your inconceivable energy, O Supreme Personality, the Creator and Lord of all beings, the God of gods, and the Lord of the universe!"
chpt10V16,"Please describe to me Your divine opulences, by which You pervade all the worlds and reside in them. O Supreme Master of Yog, how may I know You and think of You. And while meditating, in what forms can I think of You, O Supreme Divine Personality?"
chpt10V18,"Tell me again in detail Your divine glories and manifestations, O Janardan. I can never tire of hearing your nectar."
chpt10V19,"The Lord spoke: I shall now briefly describe My divine glories to you, O best of the Kurus, for there is no end to their detail."
chpt10V20,"O Arjun, I am seated in the heart of all living entities. I am the beginning, middle, and end of all beings."
chpt10V21,Amongst the twelve sons of Aditi I am Vishnu; amongst luminous objects I am the sun. Know Me to be Marichi amongst the
chpt10V22,"I am the Samaveda amongst the Vedas, and Indra amongst the celestial gods. Amongst the senses I am the mind; amongst the living beings I am consciousness."
chpt10V23,Amongst the
chpt10V24,"O Arjun, amongst priests, I am Brihaspati; amongst warrior chiefs I am Kartikeya; and amongst reservoirs of water, know Me to be the ocean."
chpt10V25,I am Bhrigu amongst the great seers and the transcendental Om amongst sounds. Amongst chants know Me to be the repetition of the Holy Name; amongst immovable things I am the Himalayas.
chpt10V26,Amongst trees I am the peepal tree (sacred fig tree); of the celestial sages I am Narad. Amongst the
chpt10V27,"Amongst horses know Me to be Ucchaihshrava, begotten from the churning of the ocean of nectar. I am Airavata amongst all lordly elephants, and the king amongst humans."
chpt10V28,"I am the Vajra (thunderbolt) amongst weapons and Kamadhenu amongst the cows. I am Kaamdev, the god of love, amongst all causes for procreation; and amongst serpents, I am Vasuki."
chpt10V29,"Amongst the snakes I am Anant; amongst aquatics I am Varun. Amongst the departed ancestors I am Aryama; amongst dispensers of law I am Yamraj, the lord of death."
chpt10V30,"I am Prahlad amongst the demons; amongst all that controls I am time. Know me to be the lion amongst animals, and Garud amongst the birds."
chpt10V31,"Amongst purifiers, I am the wind, and amongst wielders of weapons, I am Lord Ram. Of water creatures, I am the crocodile, and of flowing rivers, I am the Ganges."
chpt10V32,"O Arjun, know Me to be the beginning, middle, and end of all creation. Amongst sciences I am the science of spirituality, and in debates I am the logical conclusion."
chpt10V33,"I am the beginning “A” amongst all letters; I am the dual word in grammatical compounds. I am the endless Time, and amongst creators I am Brahma."
chpt10V34,"I am the all-devouring death, and I am the origin of those things that are yet to be. Amongst feminine qualities I am fame, prosperity, fine speech, memory, intelligence, courage, and forgiveness."
chpt10V35,"Amongst the hymns in the Samaveda know me to be the Brihatsama; amongst poetic meters I am the Gayatri. Of the twelve months of the Hindu calendar I am Margsheersh, and of seasons I am spring, which brings forth flowers."
chpt10V36,"I am the gambling of the cheats and the splendor of the splendid. I am the victory of the victorious, the resolve of the resolute, and the virtue of the virtuous."
chpt10V37,"Amongst the descendants of Vrishni, I am Krishna, and amongst the Pandavas I am Arjun. Know me to be Ved Vyas amongst the sages, and Shukracharya amongst the great thinkers."
chpt10V38,"I am just punishment amongst means of preventing lawlessness, and proper conduct amongst those who seek victory. Amongst secrets I am silence, and in the wise I am their wisdom."
chpt10V39,"I am the generating seed of all living beings, O Arjun. No creature moving or non-moving can exist without Me."
chpt10V40,"There is no end to My divine manifestations, O conqueror of enemies. What I have declared to you is a mere sample of My infinite glories."
chpt10V41,"Whatever you see as beautiful, glorious, or powerful, know it to spring from but a spark of My splendor."
chpt10V42,"What need is there for all this detailed knowledge, O Arjun? Simply know that by one fraction of My being, I pervade and support this entire creation."
chpt11V1,"Arjun said: Having heard the supremely confidential spiritual knowledge, which You have revealed out of compassion for me, my illusion is now dispelled."
chpt11V2,"I have heard from You in detail about the appearance and disappearance of all living beings, O Lotus-eyed One, and also about Your eternal magnificence."
chpt11V3,"O Supreme Lord, You are precisely what You declare yourself to be. Now I desire to see Your divine cosmic form, O Greatest of persons."
chpt11V4,"O Lord of all mystic powers, if You think I am strong enough to behold It, then kindly reveal that imperishable cosmic form to me."
chpt11V5,"The Supreme Lord said: Behold, O Parth, My hundreds and thousands of wonderful forms of various shapes, sizes, and colors."
chpt11V6,"Behold in Me, O scion of the Bharatas, the (twelve) sons of Aditi, the (eight)"
chpt11V7,"Behold now, Arjun, the entire universe, with everything moving and non-moving, assembled together in My universal form. Whatever else you wish to see, observe it all within this universal form."
chpt11V8,"But you cannot see My cosmic form with these physical eyes of yours. Therefore, I grant you divine vision. Behold My majestic opulence!"
chpt11V9,"Sanjay said: O King, having spoken thus, the Supreme Lord of Yog, Shree Krishna, displayed his divine and opulent form to Arjun."
chpt11V10,"In that cosmic form, Arjun saw unlimited faces and eyes, decorated with many celestial ornaments and wielding many kinds of divine weapons. He wore many garlands on His body and was anointed with many sweet-smelling heavenly fragrances. He revealed Himself as the wonderful and infinite Lord whose face is everywhere."
chpt11V12,"If a thousand suns were to blaze forth together in the sky, they would not match the splendor of that great form."
chpt11V13,"There Arjun could see the totality of the entire universe established in one place, in that body of the God of gods."
chpt11V14,"Then, Arjun, full of wonder and with hair standing on end, bowed his head before the Lord and addressed Him, with folded hands."
chpt11V15,"Arjun said: O Shree Krishna, I behold within Your body all the gods and hosts of different beings. I see Brahma seated on the lotus flower; I see Shiv, all the sages, and the celestial serpents."
chpt11V16,"I see Your infinite form in every direction, with countless arms, stomachs, faces, and eyes. O Lord of the universe, whose form is the universe itself, I do not see in You any beginning, middle, or end."
chpt11V17,"I see Your form, adorned with a crown, and armed with the club and disc, shining everywhere as the abode of splendor. It is hard to look upon You in the blazing fire of Your effulgence, which is radiating like the sun in all directions."
chpt11V18,"I recognize You as the supreme imperishable being, the Ultimate Truth to be known by the scriptures. You are the support of all creation; You are the eternal protector of"
chpt11V19,"You are without beginning, middle, or end; Your power has no limits. Your arms are infinite; the sun and the moon are like Your eyes, and fire is like Your mouth. I see you warming the entire creation by Your radiance."
chpt11V20,"The space between heaven and earth and all the directions is pervaded by You alone. Seeing Your wondrous and terrible form, I see the three worlds trembling in fear, O Greatest of all beings."
chpt11V21,"All the celestial gods are taking Your shelter by entering into You. In awe, some are praising You with folded hands. The great sages and perfected beings are extolling You with auspicious hymns and profuse prayers."
chpt11V22,The
chpt11V23,"O mighty Lord, in veneration of Your magnificent form with its many mouths, eyes, arms, thighs, legs, stomachs, and terrifying teeth, all the worlds are terror-stricken, and so am I."
chpt11V24,"O Lord Vishnu, seeing Your form touching the sky, effulgent in many colors, with mouths wide open and enormous blazing eyes, my heart is trembling with fear. I have lost all courage and peace of mind."
chpt11V25,"Having seen Your many mouths bearing Your terrible teeth, resembling the raging fire at the time of annihilation, I forget where I am and do not know where to go. O Lord of lords, You are the shelter of the universe; please have mercy on me."
chpt11V26,"I see all the sons of Dhritarashtra, along with their allied kings, including Bheeshma, Dronacharya, Karn, and also the generals from our side, rushing headlong into Your fearsome mouths. I see some with their heads smashed between Your terrible teeth."
chpt11V28,"As many waves of the rivers flowing rapidly into the ocean, so are all these great warriors entering into Your blazing mouths. As moths rush with great speed into the fire to perish, so are all these armies entering with great speed into Your mouths."
chpt11V30,"With Your fiery tongues You are licking up the hosts of living beings on all sides and devouring them with Your blazing mouths. O Vishnu, You are scorching the entire universe with the fierce, all-pervading rays of Your effulgence."
chpt11V31,"Tell me who You are, so fierce of form. O God of gods, I bow before You; please bestow Your mercy on me. You, who existed before all creation, I wish to know who You are, for I do not comprehend Your nature and workings."
chpt11V32,"The Supreme Lord said: I am mighty Time, the source of destruction that comes forth to annihilate the worlds. Even without your participation, the warriors arrayed in the opposing army shall cease to exist."
chpt11V33,"Therefore, arise and attain honor! Conquer your foes and enjoy prosperous rulership. These warriors stand already slain by Me, and you will only be an instrument of My work, O expert archer."
chpt11V34,"Dronacharya, Bheeshma, Jayadratha, Karn, and other brave warriors have already been killed by Me. Therefore, slay them without being disturbed. Just fight and you will be victorious over your enemies in battle."
chpt11V35,"Sanjay said: Hearing these words of Keshav, Arjun trembled with dread. With palms joined, he bowed before Shree Krishna and spoke in a faltering voice, overwhelmed with fear."
chpt11V36,"Arjun said: O Master of the senses, it is but apt that the universe rejoices in giving You praise and is enamored by You. Demons flee fearfully from You in all directions and hosts of perfected saints bow to You."
chpt11V37,"O Great One, who are even greater than Brahma, the original creator, why should they not bow to you? O Limitless One, O Lord of the"
chpt11V38,"You are the primeval God and the original Divine Personality; You are the sole resting place of this universe. You are both the knower and the object of knowledge; You are the Supreme Abode. O possessor of infinite forms, You alone pervade the entire universe."
chpt11V39,You are
chpt11V40,"O Lord of infinite power, my salutations to You from the front and the rear, indeed from all sides! You possess infinite valor and might and pervade everything, and thus, You are everything."
chpt11V41,"Thinking of You as my friend, I presumptuously addressed You as, “O Krishna,” “O Yadav,” “O my dear Friend.” I was ignorant of Your majesty, showing negligence and undue affection. And if, jestfully, I treated You with disrespect, while playing, resting, sitting, eating, when alone, or before others—for all that I crave forgiveness."
chpt11V43,"You are the Father of the entire universe, of all moving and non-moving beings. You are the most deserving of worship and the Supreme Spiritual Master. When there is none equal to You in all the three worlds, then who can possibly be greater than You, O Possessor of incomparable power?"
chpt11V44,"Therefore, O adorable Lord, bowing deeply and prostrating before You, I implore You for Your grace. As a father tolerates his son, a friend forgives his friend, and a lover pardons the beloved, please forgive me for my offences."
chpt11V45,"Having seen Your universal form that I had never seen before, I feel great joy. And yet, my mind trembles with fear. Please have mercy on me and again show me Your pleasing form, O God of gods, O Abode of the universe."
chpt11V46,"O Thousand-armed One, though You are the embodiment of all creation, I wish to see You in Your four-armed form, carrying the mace and disc, and wearing the crown."
chpt11V47,"The Lord said: Arjun, being pleased with you, by My"
chpt11V48,"Not by study of the Vedas, nor by the performance of sacrifice, rituals, or charity, nor even by practicing severe austerities, has any mortal ever seen what you have seen, O best of the Kuru warriors."
